# RadCal SD array, extracted from FDS Source/rcal.f90.
# source: https://raw.githubusercontent.com/firemodels/fds/61bd9cc6317ea4f47f46de3d52268e858f0ca8b0/Source/rcal.f90
# retrieved: 2026-09-22
# reference: W. L. Grosshandler (1993), 'RadCal: A Narrow-Band Model for Radiation Calculations in a Combustion Environment', NIST Technical Note 1402; as implemented in FDS Source/rcal.f90
# licence: public domain (a work of the US federal government).
# STATUS: REFERENCE DATA -- transcribed, not modelled and not measured here.
# note: H2O narrow-band mean absorption coefficient. RadCal's H2O routine is a bilinear interpolation in this table over (temperature, wavenumber) and nothing else.
# units: cm-1 per atm of partial pressure, referred to STP density (NASA SP-3080).
wavenumber_cm-1,k_300K,k_600K,k_1000K,k_1500K,k_2000K,k_2500K
3050,0.0034,0.004,0.00969,0.0279,0.0662,0.109
3075,0.0073,0.0045,0.0111,0.0272,0.0676,0.109
3100,0.009,0.0048,0.0137,0.0372,0.0864,0.133
3125,0.001,0.0051,0.0162,0.0471,0.1,0.142
3150,0.00064,0.0055,0.0205,0.053,0.122,0.168
3175,0.0016,0.006,0.0247,0.0633,0.135,0.177
3200,0.0033,0.007,0.0283,0.077,0.153,0.185
3225,0.0041,0.0086,0.0376,0.0914,0.166,0.206
3250,0.0041,0.0103,0.0514,0.117,0.194,0.228
3275,0.0029,0.0129,0.0664,0.147,0.22,0.254
3300,0.0022,0.0161,0.0834,0.171,0.237,0.263
3325,0.0022,0.0212,0.103,0.201,0.268,0.283
3350,0.0025,0.0285,0.135,0.24,0.295,0.295
3375,0.0031,0.0385,0.169,0.272,0.312,0.301
3400,0.0042,0.054,0.214,0.309,0.329,0.307
3425,0.006,0.077,0.267,0.343,0.332,0.314
3450,0.0094,0.117,0.333,0.372,0.344,0.303
3475,0.0165,0.173,0.365,0.385,0.353,0.3
3500,0.036,0.258,0.438,0.393,0.315,0.288
3525,0.072,0.375,0.51,0.409,0.294,0.271
3550,0.133,0.401,0.499,0.39,0.281,0.257
3575,0.215,0.5,0.443,0.341,0.254,0.23
3600,0.318,0.45,0.346,0.286,0.245,0.219
